kind,date,src,dst,n_tx,n_payers,sum_kzt,max_kzt,src_role,dst_role,dst_cluster,note
pair_day,2026-07-15,100000006579678100,100000008144528100,4,1,528000.0,145000.0,peripheral,consolidator,1,"4 перевода за день от 100000006579678100 к 100000008144528100: 528,000 KZT, крупнейший 145,000"
pair_day,2026-07-15,100000000437046100,100000007055802100,8,1,512000.0,250000.0,distributor,consolidator,0,"8 переводов за день от 100000000437046100 к 100000007055802100: 512,000 KZT, крупнейший 250,000"
pair_day,2026-07-24,100000008748914100,100000003684369100,3,1,504000.0,257000.0,distributor,peripheral,2,"3 перевода за день от 100000008748914100 к 100000003684369100: 504,000 KZT, крупнейший 257,000"
pair_day,2026-07-14,100000006579678100,100000008144528100,5,1,496400.0,122000.0,peripheral,consolidator,1,"5 переводов за день от 100000006579678100 к 100000008144528100: 496,400 KZT, крупнейший 122,000"
fan_in_day,2026-07-23,,100000008165763100,4,4,486000.0,250000.0,,peripheral,2,"4 разных плательщика за день перевели 100000008165763100: 4 перевода, 486,000 KZT"
fan_in_day,2026-07-08,,100000004962193100,6,5,478378.0,241000.0,,consolidator,0,"5 разных плательщиков за день перевели 100000004962193100: 6 переводов, 478,378 KZT"
pair_day,2026-07-04,100000008637537100,100000001732159100,6,1,389000.0,250000.0,peripheral,peripheral,35,"6 переводов за день от 100000008637537100 к 100000001732159100: 389,000 KZT, крупнейший 250,000"
fan_in_day,2026-07-23,,100000008603629100,6,4,385900.0,100000.0,,coordinator,6,"4 разных плательщика за день перевели 100000008603629100: 6 переводов, 385,900 KZT"
pair_day,2026-07-25,100000007594394100,100000006274203100,4,1,378000.0,168000.0,peripheral,peripheral,4,"4 перевода за день от 100000007594394100 к 100000006274203100: 378,000 KZT, крупнейший 168,000"
pair_day,2026-07-30,100000007594394100,100000006274203100,4,1,375000.0,130000.0,peripheral,peripheral,4,"4 перевода за день от 100000007594394100 к 100000006274203100: 375,000 KZT, крупнейший 130,000"
fan_in_day,2026-07-22,,100000003684369100,5,4,366348.0,100000.0,,peripheral,2,"4 разных плательщика за день перевели 100000003684369100: 5 переводов, 366,348 KZT"
pair_day,2026-07-18,100000007594394100,100000006274203100,3,1,362000.0,164000.0,peripheral,peripheral,4,"3 перевода за день от 100000007594394100 к 100000006274203100: 362,000 KZT, крупнейший 164,000"
pair_day,2026-07-14,100000003880331100,100000000331309100,3,1,320000.0,200000.0,distributor,coordinator,4,"3 перевода за день от 100000003880331100 к 100000000331309100: 320,000 KZT, крупнейший 200,000"
pair_day,2026-07-05,100000004906181100,100000008175078100,4,1,305000.0,120000.0,peripheral,peripheral,31,"4 перевода за день от 100000004906181100 к 100000008175078100: 305,000 KZT, крупнейший 120,000"
pair_day,2026-07-21,100000003880331100,100000001857829100,3,1,300000.0,100000.0,distributor,peripheral,6,"3 перевода за день от 100000003880331100 к 100000001857829100: 300,000 KZT, крупнейший 100,000"
pair_day,2026-07-27,100000002224132100,100000000594783100,4,1,300000.0,200000.0,peripheral,peripheral,21,"4 перевода за день от 100000002224132100 к 100000000594783100: 300,000 KZT, крупнейший 200,000"
pair_day,2026-07-23,100000003880331100,100000008603629100,3,1,298000.0,100000.0,distributor,coordinator,6,"3 перевода за день от 100000003880331100 к 100000008603629100: 298,000 KZT, крупнейший 100,000"
fan_in_day,2026-07-17,,100000003684369100,7,6,266219.0,80000.0,,peripheral,2,"6 разных плательщиков за день перевели 100000003684369100: 7 переводов, 266,219 KZT"
fan_in_day,2026-07-25,,100000003684369100,6,4,262500.0,70700.0,,peripheral,2,"4 разных плательщика за день перевели 100000003684369100: 6 переводов, 262,500 KZT"
pair_day,2026-07-31,100000007594394100,100000006274203100,3,1,250000.0,110000.0,peripheral,peripheral,4,"3 перевода за день от 100000007594394100 к 100000006274203100: 250,000 KZT, крупнейший 110,000"
pair_day,2026-07-14,100000007594394100,100000006274203100,4,1,243412.0,150000.0,peripheral,peripheral,4,"4 перевода за день от 100000007594394100 к 100000006274203100: 243,412 KZT, крупнейший 150,000"
pair_day,2026-07-11,100000002748532100,100000001714173100,3,1,241510.0,100400.0,peripheral,terminal,14,"3 перевода за день от 100000002748532100 к 100000001714173100: 241,510 KZT, крупнейший 100,400"
pair_day,2026-07-12,100000004269433100,100000008418835100,11,1,225000.0,45000.0,peripheral,peripheral,48,"11 переводов за день от 100000004269433100 к 100000008418835100: 225,000 KZT, крупнейший 45,000"
pair_day,2026-07-13,100000003016635100,100000004394765100,4,1,224727.0,184665.0,distributor,peripheral,1,"4 перевода за день от 100000003016635100 к 100000004394765100: 224,727 KZT, крупнейший 184,665"
pair_day,2026-07-07,100000002957787100,100000005314565100,3,1,218500.0,107000.0,coordinator,peripheral,0,"3 перевода за день от 100000002957787100 к 100000005314565100: 218,500 KZT, крупнейший 107,000"
pair_day,2026-07-09,100000006866783100,100000004299488100,3,1,215000.0,135000.0,distributor,consolidator,0,"3 перевода за день от 100000006866783100 к 100000004299488100: 215,000 KZT, крупнейший 135,000"
pair_day,2026-07-09,100000004269433100,100000008418835100,8,1,198000.0,55000.0,peripheral,peripheral,48,"8 переводов за день от 100000004269433100 к 100000008418835100: 198,000 KZT, крупнейший 55,000"
pair_day,2026-07-05,100000001732159100,100000008637537100,3,1,178080.0,100000.0,peripheral,peripheral,35,"3 перевода за день от 100000001732159100 к 100000008637537100: 178,080 KZT, крупнейший 100,000"
pair_day,2026-07-04,100000008324800100,100000007390016100,3,1,161000.0,85000.0,transit,peripheral,4,"3 перевода за день от 100000008324800100 к 100000007390016100: 161,000 KZT, крупнейший 85,000"
pair_day,2026-07-08,100000005473151100,100000008335401100,3,1,150000.0,50000.0,peripheral,peripheral,9,"3 перевода за день от 100000005473151100 к 100000008335401100: 150,000 KZT, крупнейший 50,000"
pair_day,2026-07-11,100000000437046100,100000004299488100,3,1,150000.0,70000.0,distributor,consolidator,0,"3 перевода за день от 100000000437046100 к 100000004299488100: 150,000 KZT, крупнейший 70,000"
pair_day,2026-07-16,100000004269433100,100000008418835100,9,1,146000.0,39000.0,peripheral,peripheral,48,"9 переводов за день от 100000004269433100 к 100000008418835100: 146,000 KZT, крупнейший 39,000"
pair_day,2026-07-29,100000007594394100,100000006274203100,3,1,144000.0,74000.0,peripheral,peripheral,4,"3 перевода за день от 100000007594394100 к 100000006274203100: 144,000 KZT, крупнейший 74,000"
fan_in_day,2026-07-11,,100000006866783100,6,4,143980.0,50680.0,,distributor,0,"4 разных плательщика за день перевели 100000006866783100: 6 переводов, 143,980 KZT"
pair_day,2026-07-03,100000008213966100,100000000838385100,4,1,142300.0,72300.0,peripheral,peripheral,24,"4 перевода за день от 100000008213966100 к 100000000838385100: 142,300 KZT, крупнейший 72,300"
pair_day,2026-07-02,100000008637537100,100000001732159100,4,1,140000.0,100000.0,peripheral,peripheral,35,"4 перевода за день от 100000008637537100 к 100000001732159100: 140,000 KZT, крупнейший 100,000"
fan_in_day,2026-07-18,,100000007055802100,5,4,138999.0,40000.0,,consolidator,0,"4 разных плательщика за день перевели 100000007055802100: 5 переводов, 138,999 KZT"
pair_day,2026-07-16,100000006866783100,100000005584222100,3,1,136217.0,77526.0,distributor,peripheral,0,"3 перевода за день от 100000006866783100 к 100000005584222100: 136,217 KZT, крупнейший 77,526"
pair_day,2026-07-29,100000004388983100,100000007283257100,4,1,132000.0,70000.0,peripheral,peripheral,84,"4 перевода за день от 100000004388983100 к 100000007283257100: 132,000 KZT, крупнейший 70,000"
pair_day,2026-07-07,100000007390016100,100000008324800100,7,1,123000.0,25000.0,peripheral,transit,4,"7 переводов за день от 100000007390016100 к 100000008324800100: 123,000 KZT, крупнейший 25,000"
pair_day,2026-07-10,100000004269433100,100000008418835100,4,1,123000.0,45000.0,peripheral,peripheral,48,"4 перевода за день от 100000004269433100 к 100000008418835100: 123,000 KZT, крупнейший 45,000"
fan_in_day,2026-07-16,,100000008547948100,4,4,121000.0,36000.0,,distributor,3,"4 разных плательщика за день перевели 100000008547948100: 4 перевода, 121,000 KZT"
pair_day,2026-07-11,100000007018630100,100000002371751100,3,1,120000.0,50000.0,peripheral,peripheral,83,"3 перевода за день от 100000007018630100 к 100000002371751100: 120,000 KZT, крупнейший 50,000"
pair_day,2026-07-14,100000004269433100,100000008418835100,9,1,120000.0,24000.0,peripheral,peripheral,48,"9 переводов за день от 100000004269433100 к 100000008418835100: 120,000 KZT, крупнейший 24,000"
fan_in_day,2026-07-14,,100000006866783100,5,5,117496.0,34000.0,,distributor,0,"5 разных плательщиков за день перевели 100000006866783100: 5 переводов, 117,496 KZT"
fan_in_day,2026-07-19,,100000003684369100,4,4,115000.0,38000.0,,peripheral,2,"4 разных плательщика за день перевели 100000003684369100: 4 перевода, 115,000 KZT"
pair_day,2026-07-22,100000002306369100,100000008165763100,4,1,114000.0,34000.0,peripheral,peripheral,2,"4 перевода за день от 100000002306369100 к 100000008165763100: 114,000 KZT, крупнейший 34,000"
fan_in_day,2026-07-13,,100000003684369100,4,4,113674.0,41300.0,,peripheral,2,"4 разных плательщика за день перевели 100000003684369100: 4 перевода, 113,674 KZT"
pair_day,2026-07-31,100000004388983100,100000005034574100,6,1,109816.0,36000.0,peripheral,peripheral,84,"6 переводов за день от 100000004388983100 к 100000005034574100: 109,816 KZT, крупнейший 36,000"
pair_day,2026-07-18,100000003016635100,100000001851289100,3,1,109510.0,47000.0,distributor,peripheral,1,"3 перевода за день от 100000003016635100 к 100000001851289100: 109,510 KZT, крупнейший 47,000"
pair_day,2026-07-11,100000003265158100,100000007242833100,3,1,107500.0,80700.0,peripheral,peripheral,10,"3 перевода за день от 100000003265158100 к 100000007242833100: 107,500 KZT, крупнейший 80,700"
pair_day,2026-07-18,100000004269433100,100000008418835100,6,1,106000.0,45000.0,peripheral,peripheral,48,"6 переводов за день от 100000004269433100 к 100000008418835100: 106,000 KZT, крупнейший 45,000"
fan_in_day,2026-07-12,,100000006866783100,5,4,102500.0,33500.0,,distributor,0,"4 разных плательщика за день перевели 100000006866783100: 5 переводов, 102,500 KZT"
pair_day,2026-07-25,100000008304139100,100000003684369100,3,1,102000.0,50000.0,distributor,peripheral,2,"3 перевода за день от 100000008304139100 к 100000003684369100: 102,000 KZT, крупнейший 50,000"
pair_day,2026-07-11,100000008343874100,100000008343415100,3,1,100000.0,50000.0,peripheral,peripheral,19,"3 перевода за день от 100000008343874100 к 100000008343415100: 100,000 KZT, крупнейший 50,000"
pair_day,2026-07-17,100000008324800100,100000007390016100,7,1,100000.0,25000.0,transit,peripheral,4,"7 переводов за день от 100000008324800100 к 100000007390016100: 100,000 KZT, крупнейший 25,000"
fan_in_day,2026-07-12,,100000008165763100,5,4,97930.0,26000.0,,peripheral,2,"4 разных плательщика за день перевели 100000008165763100: 5 переводов, 97,930 KZT"
pair_day,2026-07-29,100000004160650100,100000004007116100,4,1,95544.0,30000.0,distributor,peripheral,62,"4 перевода за день от 100000004160650100 к 100000004007116100: 95,544 KZT, крупнейший 30,000"
fan_in_day,2026-07-03,,100000004486525100,6,5,95312.0,28786.0,,peripheral,0,"5 разных плательщиков за день перевели 100000004486525100: 6 переводов, 95,312 KZT"
pair_day,2026-07-10,100000007390016100,100000008324800100,3,1,92500.0,60000.0,peripheral,transit,4,"3 перевода за день от 100000007390016100 к 100000008324800100: 92,500 KZT, крупнейший 60,000"
pair_day,2026-07-29,100000008762832100,100000008748914100,4,1,85000.0,50000.0,peripheral,distributor,2,"4 перевода за день от 100000008762832100 к 100000008748914100: 85,000 KZT, крупнейший 50,000"
pair_day,2026-07-28,100000004388983100,100000005034574100,6,1,83000.0,20000.0,peripheral,peripheral,84,"6 переводов за день от 100000004388983100 к 100000005034574100: 83,000 KZT, крупнейший 20,000"
pair_day,2026-07-23,100000004269433100,100000008418835100,4,1,82000.0,40000.0,peripheral,peripheral,48,"4 перевода за день от 100000004269433100 к 100000008418835100: 82,000 KZT, крупнейший 40,000"
pair_day,2026-07-29,100000008628231100,100000005664632100,5,1,81620.0,50000.0,peripheral,peripheral,52,"5 переводов за день от 100000008628231100 к 100000005664632100: 81,620 KZT, крупнейший 50,000"
pair_day,2026-07-13,100000007170072100,100000003345947100,6,1,79500.0,17000.0,transit,peripheral,6,"6 переводов за день от 100000007170072100 к 100000003345947100: 79,500 KZT, крупнейший 17,000"
pair_day,2026-07-20,100000004160650100,100000004007116100,3,1,78500.0,30000.0,distributor,peripheral,62,"3 перевода за день от 100000004160650100 к 100000004007116100: 78,500 KZT, крупнейший 30,000"
pair_day,2026-07-26,100000008628231100,100000005664632100,8,1,75500.0,10000.0,peripheral,peripheral,52,"8 переводов за день от 100000008628231100 к 100000005664632100: 75,500 KZT, крупнейший 10,000"
pair_day,2026-07-04,100000005287097100,100000003016635100,3,1,72000.0,46000.0,peripheral,distributor,1,"3 перевода за день от 100000005287097100 к 100000003016635100: 72,000 KZT, крупнейший 46,000"
pair_day,2026-07-11,100000004269433100,100000008418835100,4,1,72000.0,23000.0,peripheral,peripheral,48,"4 перевода за день от 100000004269433100 к 100000008418835100: 72,000 KZT, крупнейший 23,000"
pair_day,2026-07-08,100000004299488100,100000007055802100,3,1,70000.0,32000.0,consolidator,consolidator,0,"3 перевода за день от 100000004299488100 к 100000007055802100: 70,000 KZT, крупнейший 32,000"
fan_in_day,2026-07-02,,100000004486525100,4,4,67947.0,43947.0,,peripheral,0,"4 разных плательщика за день перевели 100000004486525100: 4 перевода, 67,947 KZT"
pair_day,2026-07-17,100000004269433100,100000008418835100,3,1,67000.0,36000.0,peripheral,peripheral,48,"3 перевода за день от 100000004269433100 к 100000008418835100: 67,000 KZT, крупнейший 36,000"
pair_day,2026-07-01,100000005910114100,100000004486525100,3,1,65614.0,28277.0,coordinator,peripheral,0,"3 перевода за день от 100000005910114100 к 100000004486525100: 65,614 KZT, крупнейший 28,277"
pair_day,2026-07-18,100000008659445100,100000008193577100,3,1,65000.0,37000.0,peripheral,peripheral,70,"3 перевода за день от 100000008659445100 к 100000008193577100: 65,000 KZT, крупнейший 37,000"
fan_in_day,2026-07-20,,100000008346837100,4,4,64300.0,28500.0,,coordinator,11,"4 разных плательщика за день перевели 100000008346837100: 4 перевода, 64,300 KZT"
pair_day,2026-07-09,100000004351795100,100000002398779100,4,1,64100.0,29900.0,distributor,consolidator,0,"4 перевода за день от 100000004351795100 к 100000002398779100: 64,100 KZT, крупнейший 29,900"
fan_in_day,2026-07-10,,100000008603629100,4,4,64028.0,25000.0,,coordinator,6,"4 разных плательщика за день перевели 100000008603629100: 4 перевода, 64,028 KZT"
pair_day,2026-07-31,100000004388983100,100000007283257100,3,1,60000.0,30000.0,peripheral,peripheral,84,"3 перевода за день от 100000004388983100 к 100000007283257100: 60,000 KZT, крупнейший 30,000"
pair_day,2026-07-23,100000005287097100,100000003016635100,3,1,56500.0,46000.0,peripheral,distributor,1,"3 перевода за день от 100000005287097100 к 100000003016635100: 56,500 KZT, крупнейший 46,000"
pair_day,2026-07-08,100000005287097100,100000003016635100,3,1,56300.0,40000.0,peripheral,distributor,1,"3 перевода за день от 100000005287097100 к 100000003016635100: 56,300 KZT, крупнейший 40,000"
pair_day,2026-07-09,100000006866783100,100000004071080100,3,1,56000.0,21000.0,distributor,consolidator,0,"3 перевода за день от 100000006866783100 к 100000004071080100: 56,000 KZT, крупнейший 21,000"
pair_day,2026-07-21,100000001616816100,100000004015047100,3,1,55500.0,44000.0,peripheral,consolidator,5,"3 перевода за день от 100000001616816100 к 100000004015047100: 55,500 KZT, крупнейший 44,000"
pair_day,2026-07-11,100000004070318100,100000006866783100,3,1,55000.0,20000.0,distributor,distributor,0,"3 перевода за день от 100000004070318100 к 100000006866783100: 55,000 KZT, крупнейший 20,000"
pair_day,2026-07-24,100000000838385100,100000008213966100,3,1,55000.0,23500.0,peripheral,peripheral,24,"3 перевода за день от 100000000838385100 к 100000008213966100: 55,000 KZT, крупнейший 23,500"
pair_day,2026-07-07,100000002645993100,100000002398779100,5,1,54150.0,14000.0,peripheral,consolidator,0,"5 переводов за день от 100000002645993100 к 100000002398779100: 54,150 KZT, крупнейший 14,000"
pair_day,2026-07-23,100000004160650100,100000004007116100,3,1,50850.0,30000.0,distributor,peripheral,62,"3 перевода за день от 100000004160650100 к 100000004007116100: 50,850 KZT, крупнейший 30,000"
pair_day,2026-07-18,100000008579978100,100000002119762100,3,1,50000.0,30000.0,peripheral,peripheral,4,"3 перевода за день от 100000008579978100 к 100000002119762100: 50,000 KZT, крупнейший 30,000"
fan_in_day,2026-07-27,,100000008546855100,5,5,46290.0,17290.0,,consolidator,16,"5 разных плательщиков за день перевели 100000008546855100: 5 переводов, 46,290 KZT"
pair_day,2026-07-10,100000008637537100,100000001732159100,4,1,45000.0,15000.0,peripheral,peripheral,35,"4 перевода за день от 100000008637537100 к 100000001732159100: 45,000 KZT, крупнейший 15,000"
pair_day,2026-07-06,100000005910114100,100000006756956100,3,1,40000.0,30000.0,coordinator,peripheral,0,"3 перевода за день от 100000005910114100 к 100000006756956100: 40,000 KZT, крупнейший 30,000"
pair_day,2026-07-14,100000001732159100,100000008314203100,4,1,40000.0,10000.0,peripheral,peripheral,35,"4 перевода за день от 100000001732159100 к 100000008314203100: 40,000 KZT, крупнейший 10,000"
pair_day,2026-07-15,100000008314203100,100000008637537100,3,1,40000.0,20000.0,peripheral,peripheral,35,"3 перевода за день от 100000008314203100 к 100000008637537100: 40,000 KZT, крупнейший 20,000"
pair_day,2026-07-23,100000002958343100,100000000274067100,3,1,40000.0,20000.0,peripheral,peripheral,5,"3 перевода за день от 100000002958343100 к 100000000274067100: 40,000 KZT, крупнейший 20,000"
fan_in_day,2026-07-21,,100000008730846100,4,4,39800.0,12800.0,,peripheral,8,"4 разных плательщика за день перевели 100000008730846100: 4 перевода, 39,800 KZT"
pair_day,2026-07-07,100000004400305100,100000002645993100,3,1,35650.0,13450.0,coordinator,peripheral,0,"3 перевода за день от 100000004400305100 к 100000002645993100: 35,650 KZT, крупнейший 13,450"
pair_day,2026-07-20,100000003016635100,100000000667713100,3,1,35550.0,21150.0,distributor,peripheral,1,"3 перевода за день от 100000003016635100 к 100000000667713100: 35,550 KZT, крупнейший 21,150"
pair_day,2026-07-01,100000008314203100,100000008637537100,3,1,30000.0,10000.0,peripheral,peripheral,35,"3 перевода за день от 100000008314203100 к 100000008637537100: 30,000 KZT, крупнейший 10,000"
pair_day,2026-07-08,100000001732159100,100000008637537100,3,1,30000.0,13000.0,peripheral,peripheral,35,"3 перевода за день от 100000001732159100 к 100000008637537100: 30,000 KZT, крупнейший 13,000"
pair_day,2026-07-30,100000006443391100,100000006385877100,3,1,30000.0,14000.0,peripheral,peripheral,3,"3 перевода за день от 100000006443391100 к 100000006385877100: 30,000 KZT, крупнейший 14,000"
pair_day,2026-07-14,100000006534886100,100000004330371100,3,1,28000.0,16000.0,peripheral,peripheral,1,"3 перевода за день от 100000006534886100 к 100000004330371100: 28,000 KZT, крупнейший 16,000"
pair_day,2026-07-24,100000008628231100,100000005664632100,3,1,22000.0,10000.0,peripheral,peripheral,52,"3 перевода за день от 100000008628231100 к 100000005664632100: 22,000 KZT, крупнейший 10,000"
pair_day,2026-07-16,100000003635170100,100000004209339100,3,1,20500.0,8000.0,peripheral,peripheral,8,"3 перевода за день от 100000003635170100 к 100000004209339100: 20,500 KZT, крупнейший 8,000"
pair_day,2026-07-13,100000007170072100,100000003177533100,3,1,20000.0,10000.0,transit,peripheral,6,"3 перевода за день от 100000007170072100 к 100000003177533100: 20,000 KZT, крупнейший 10,000"
pair_day,2026-07-19,100000005287097100,100000003016635100,3,1,15900.0,5900.0,peripheral,distributor,1,"3 перевода за день от 100000005287097100 к 100000003016635100: 15,900 KZT, крупнейший 5,900"
