rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.992551,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 5 / 984,635 KZT; выход 99 / 23,001,375 KZT; операций 8/126; дней 29"
39,100000004759121100,consolidator,0.932074,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 6 / 710,000 KZT; выход 2 / 312,000 KZT; операций 10/6; дней 14"
40,100000005782781100,distributor,0.932043,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 6 / 171,888 KZT; выход 10 / 1,263,597 KZT; операций 10/10; дней 9"
41,100000008512552100,distributor,0.931042,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 4 / 394,360 KZT; выход 6 / 1,302,275 KZT; операций 9/11; дней 11"
42,100000008413748100,distributor,0.930841,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 26,480 KZT; выход 18 / 1,377,320 KZT; операций 2/21; дней 5"
43,100000002241986100,distributor,0.930208,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 280,000 KZT; выход 6 / 3,077,000 KZT; операций 1/12; дней 12"
44,100000002175422100,distributor,0.930185,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 68,500 KZT; выход 6 / 1,621,188 KZT; операций 5/14; дней 11"
45,100000002217161100,distributor,0.930085,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 404,750 KZT; выход 7 / 995,132 KZT; операций 15/19; дней 21"
46,100000005074393100,distributor,0.929985,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 4 / 563,026 KZT; выход 6 / 685,500 KZT; операций 5/10; дней 12"
47,100000004299488100,consolidator,0.929527,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 6 / 1,749,000 KZT; выход 2 / 344,999 KZT; операций 22/14; дней 12"
48,100000006579678100,distributor,0.929318,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 192,930 KZT; выход 6 / 1,668,800 KZT; операций 2/15; дней 6"
49,100000003796063100,distributor,0.929184,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 35,000 KZT; выход 15 / 959,150 KZT; операций 1/23; дней 11"
50,100000005287097100,distributor,0.928539,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 127,173 KZT; выход 9 / 697,300 KZT; операций 5/42; дней 18"
